测试套/软件包名,测试用例名,状态,日志文件,原因,负责人
nbdkit,oe_test_nbdkit_02,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/nbdkit/oe_test_nbdkit_02/2023-04-26-11:02:45.log,x86 fail,
FS_Negative,oe_test_FSIO_destory_block,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/FS_Negative/oe_test_FSIO_destory_block/2023-05-04-03:01:24.log,x86 fail,
FS_Negative,oe_test_FSIO_create_same_name_dir_file,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/FS_Negative/oe_test_FSIO_create_same_name_dir_file/2023-05-04-02:59:54.log,x86 fail,
FS_Negative,oe_test_FSIO_etc_full_data,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/FS_Negative/oe_test_FSIO_etc_full_data/2023-05-04-03:03:10.log,x86 fail,
FS_Negative,oe_test_FSIO_create_full_dir,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/FS_Negative/oe_test_FSIO_create_full_dir/2023-05-04-02:29:14.log,log文件过长无法分析,黄烁
ntfs-3g,oe_test_ntfs-3g_lowntfs-3g_03,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_lowntfs-3g_03/2023-04-28-00:29:49.log,x86 fail,
ntfs-3g,oe_test_ntfs-3g_ntfs-3g_02,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_ntfs-3g_02/2023-04-28-00:21:15.log,x86 fail,
ntfs-3g,oe_test_ntfs-3g_ntfssecaudit,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_ntfssecaudit/2023-04-28-00:13:20.log,x86 fail,
ntfs-3g,oe_test_ntfs-3g_ntfsresize,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_ntfsresize/2023-04-28-00:08:54.log,x86 fail,
ntfs-3g,oe_test_ntfs-3g_ntfsundelete_02,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_ntfsundelete_02/2023-04-28-00:17:51.log,x86 fail,
ntfs-3g,oe_test_ntfs-3g_ntfs-3g_03,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_ntfs-3g_03/2023-04-28-00:23:22.log,x86 fail,
ntfs-3g,oe_test_ntfs-3g_ntfscp,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_ntfscp/2023-04-27-23:51:25.log,x86 fail,
ntfs-3g,oe_test_ntfs-3g_ntfs-3g_01,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_ntfs-3g_01/2023-04-28-00:19:19.log,x86 fail,
ntfs-3g,oe_test_ntfs-3g_ntfscluster,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_ntfscluster/2023-04-28-00:10:20.log,x86 fail,
ntfs-3g,oe_test_ntfs-3g_lowntfs-3g_02,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_lowntfs-3g_02/2023-04-28-00:27:42.log,x86 fail,
ntfs-3g,oe_test_ntfs-3g_ntfsinfo,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_ntfsinfo/2023-04-28-00:01:43.log,x86 fail,
ntfs-3g,oe_test_ntfs-3g_ntfsundelete_01,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/ntfs-3g/oe_test_ntfs-3g_ntfsundelete_01/2023-04-28-00:16:16.log,x86 fail,
